modalidade,total_pago
CAIXA ECONOMICA FEDERAL – SAC,354133.7393392456
BCO RODOBENS S.A. – SAC,354364.5105502926
BCO DO BRASIL S.A. – SAC,414142.3479231648
BANCO BARI S.A. – SAC,425847.5573597288
BANCO SEMEAR – SAC,456884.68823800876
BANCO INTER – SAC,458216.26447425655
BANCO SICOOB S.A. – SAC,469949.54446292185
BCO DO ESTADO DO RS S.A. – SAC,471053.7803433759
BCO DO EST. DO PA S.A. – SAC,472598.9380020139
BCO COOPERATIVO SICREDI S.A. – SAC,475686.55338716623
BCO DO EST. DE SE S.A. – SAC,479210.8580778362
APE POUPEX – SAC,483609.66010609723
BRB - BCO DE BRASILIA S.A. – SAC,490194.2094217881
BCO LUSO BRASILEIRO S.A. – SAC,491509.15949349286
ITAÚ UNIBANCO S.A. – SAC,495231.31459651387
BCO SANTANDER (BRASIL) S.A. – SAC,525471.0760060858
BCO BRADESCO S.A. – SAC,527417.2209370409
BCO DAYCOVAL S.A – SAC,590642.1143781231
OXY CH – SAC,613132.2011687412
BARI CIA HIPOTECÁRIA – SAC,616687.9677716467
