rotulo,total_pago
CAIXA ECONOMICA FEDERAL – SAC,615428.9132007676
BCO SANTANDER (BRASIL) S.A. – SAC,785419.9986352322
APE POUPEX – SAC,841336.6095229968
BANCO BARI S.A. – SAC TR,1149763.8202490152
BCO DO ESTADO DO RS S.A. – SAC TR,1297667.5802528958
BCO DO EST. DE SE S.A. – SAC TR,1357781.1165290202
CAIXA ECONOMICA FEDERAL – SAC TR,1377955.6775787526
BANCO SICOOB S.A. – SAC TR,1380039.9483863732
APE POUPEX – SAC TR,1407781.1091674124
BCO COOPERATIVO SICREDI S.A. – SAC TR,1421617.5455702646
BANCO INTER – SAC TR,1447844.413982101
ITAÃ UNIBANCO S.A. – SAC TR,1463679.0570991137
BCO BRADESCO S.A. – SAC TR,1493203.4969014777
BCO SANTANDER (BRASIL) S.A. – SAC TR,1530135.0403601013
BCO DO BRASIL S.A. – SAC TR,1635254.0721877199
BCO RODOBENS S.A. – SAC IPCA+,2309583.6979954606
BCO DO BRASIL S.A. – SAC IPCA+,2780700.136126111
BANCO SEMEAR – SAC IPCA+,3117557.741075796
BCO LUSO BRASILEIRO S.A. – SAC IPCA+,3390437.428380166
BCO DAYCOVAL S.A – SAC IPCA+,4171716.354803955
OXY CH – SAC IPCA+,4348963.4759394135
BANCO BARI S.A. – SAC IPCA+,4357209.546244517
BARI CIA HIPOTECÃRIA – SAC IPCA+,4376986.906869769
